4.relative_error,10.relative_error,15.relative_error,20.relative_error,22.relative_error,25.relative_error,27.relative_error,30.relative_error,,35.relative_error,37.relative_error,40.relative_error
0.1226215644820296,0.0,0.00720949957591179,0.03558897243107769,0.006857142857142857,0.07911001236093942,0.1105144149236857,0.0,,0.007125307125307125,0.00653452406883032,0.004916420845624385
0.0,0.0,0.0,0.0,0.04875846501128668,0.007730147575544624,0.03546688833471876,0.0,,0.010792249202845229,0.0034153005464480873,0.03524921418949259
0.0,0.052702702702702706,0.005329457364341085,0.020713463751438434,0.0,0.031914893617021274,0.11578624078624078,0.008951775916835113,,0.005574912891986063,0.002677376171352075,0.058132590085606214
0.0,0.0,0.0,0.0,0.032740501212611156,0.07299703264094956,0.05444575009792401,0.0,,0.025727338302476557,0.02003179650238474,0.014296323802450798
0.0,0.0,0.0,0.0,0.0,0.0,0.007162346521145975,0.0013259082471492973,,0.021929824561403508,0.0,0.02062062062062062
0.0,0.0,0.0,0.0,0.008911274699728787,0.009633911368015413,0.007741935483870968,0.04259072580645161,,0.013107591480065538,0.0,0.015482444014376555
0.0,0.10327272727272727,0.0,0.008663930688554491,0.0,0.013779527559055118,0.039361702127659576,0.026350811817939846,,0.04251820530890298,0.002624097966324076,0.0
0.0,0.0,0.0,0.0,0.0,0.007729112992270887,0.03431372549019608,0.07679693905438645,,0.007476635514018692,0.01171011931064958,0.09034334763948498
0.0,0.0,0.0,0.0,0.08206185567010309,0.023404255319148935,0.0,0.0007951232441028359,,0.022131147540983605,0.0,0.01078894133513149
0.20089285714285715,0.046031746031746035,0.0,0.07683261466091729,0.0,0.004649360712901976,0.03558844256518675,0.018753301637612255,,0.0,0.005267593763168985,0.02678790857704596
0.0,0.13191811978771797,0.0,0.0,0.032220496894409936,0.0,0.0,0.009669369931378666,,0.0,0.02392076247430387,0.05014170481796381
0.0,0.0,0.0,0.006616257088846881,0.12475247524752475,0.028995512599240592,0.0,0.032433770735330526,,0.009671672181216595,0.02156469408224674,0.03609154929577465
0.0,0.0,0.05531653349723417,0.04222972972972973,0.0003904724716907458,0.01078167115902965,0.010069444444444445,0.0,,0.0,0.01967303962316431,0.023792697290930507
0.0,0.0,0.005749880210828941,0.0,0.02614867388868136,0.031981279251170044,0.035035035035035036,0.026113671274961597,,0.0,0.013500931098696461,0.01701675086413188
0.0,0.023758099352051837,0.0,0.0,0.0012285012285012285,0.0,0.00819964349376114,0.007419898819561552,,0.00821529745042493,0.01924310455420141,0.025762231151028124
0.0,0.0,0.0,0.0,0.0,0.0,0.0006172839506172839,0.002901073397156948,,0.028905109489051097,0.0,0.019759450171821305
0.0,0.0,0.0,0.0,0.027301927194860815,0.027071640805546384,0.06101813110181311,0.0,,0.005608974358974359,0.0,0.017265330422702917
0.0,0.0,0.0,0.025748817656332107,0.011976047904191617,0.017360071834780007,0.01159324279562769,0.05117883841288096,,0.024248496993987977,0.031787143866258534,0.0
0.0,0.0,0.0,0.04917337855023315,0.012477718360071301,0.023840627041149576,0.022625781482584102,0.0027506112469437654,,0.005267316302343956,0.0002314814814814815,0.002514668901927913
0.0,0.0,0.0,0.00980392156862745,0.008955223880597015,0.13169934640522876,0.0,0.04153354632587859,,0.0,0.007512152010605391,0.031746031746031744
0.0,0.0,0.0,0.009298998569384835,0.11354205960015089,0.0,0.0,0.03214552703712933,,0.015496125968507872,0.0,0.0
0.0,0.0,0.0,0.0,0.013192612137203167,0.01994198694706309,0.00039478878799842083,0.012573568753344035,,0.006469500924214418,0.043283188176299815,0.0
0.0,0.0,0.0,0.0,0.07563727538654409,0.022509225092250923,0.01839163360980887,0.0,,0.014970059880239521,0.0,0.03397632617273126
0.0,0.029818956336528223,0.0,0.03493821900298253,0.011739594450373533,0.041922290388548056,0.0,0.0,,0.00963855421686747,0.020467132193594993,0.022794428028704093
