knap_id,method,item_count,price,elapsed_ms
9024,FPTAS50,4,369,0.000456
9024,FPTAS75,4,382,0.000465
9025,Recursive,4,295,0.001504
9025,BranchAndBound,4,295,0.001597
9025,Dynamic,4,295,0.000554
9025,FPTAS25,4,273,0.000455
9025,FPTAS50,4,286,0.000513
9025,FPTAS75,4,286,0.000472
9026,Recursive,4,512,0.001498
9026,BranchAndBound,4,512,0.001238
9026,Dynamic,4,512,0.000638
9026,FPTAS25,4,465,0.000471
9026,FPTAS50,4,465,0.000464
9026,FPTAS75,4,496,0.000513
9027,Recursive,4,184,0.00149
9027,BranchAndBound,4,184,0.001559
9027,Dynamic,4,184,0.000585
9027,FPTAS25,4,168,0.000489
9027,FPTAS50,4,182,0.000459
9027,FPTAS75,4,182,0.000445
9028,Recursive,4,317,0.001496
9028,BranchAndBound,4,317,0.001555
9028,Dynamic,4,317,0.000578
9028,FPTAS25,4,263,0.000423
9028,FPTAS50,4,292,0.000439
9028,FPTAS75,4,307,0.000482
9029,Recursive,4,372,0.001525
9029,BranchAndBound,4,372,0.001416
9029,Dynamic,4,372,0.000574
9029,FPTAS25,4,332,0.000458
9029,FPTAS50,4,362,0.000467
9029,FPTAS75,4,362,0.000469
9030,Recursive,4,296,0.00152
9030,BranchAndBound,4,296,0.001509
9030,Dynamic,4,296,0.000499
9030,FPTAS25,4,256,0.000433
9030,FPTAS50,4,277,0.000446
9030,FPTAS75,4,288,0.000458
9031,Recursive,4,309,0.001525
9031,BranchAndBound,4,309,0.001548
9031,Dynamic,4,309,0.000628
9031,FPTAS25,4,288,0.000428
9031,FPTAS50,4,299,0.000481
9031,FPTAS75,4,299,0.00044
9032,Recursive,4,501,0.001508
9032,BranchAndBound,4,501,0.001531
9032,Dynamic,4,501,0.000571
9032,FPTAS25,4,477,0.000452
9032,FPTAS50,4,477,0.000446
9032,FPTAS75,4,490,0.000489
9033,Recursive,4,100,0.001504
9033,BranchAndBound,4,100,0.002804
9033,Dynamic,4,100,0.000549
9033,FPTAS25,4,80,0.000463
9033,FPTAS50,4,91,0.000436
9033,FPTAS75,4,95,0.000448
9034,Recursive,4,253,0.0015
9034,BranchAndBound,4,253,0.002737
9034,Dynamic,4,253,0.000625
9034,FPTAS25,4,237,0.000408
9034,FPTAS50,4,253,0.000425
9034,FPTAS75,4,253,0.000467
9035,Recursive,4,585,0.001869
9035,BranchAndBound,4,585,0.001632
9035,Dynamic,4,585,0.000602
9035,FPTAS25,4,533,0.00053
9035,FPTAS50,4,533,0.000499
9035,FPTAS75,4,562,0.000434
9036,Recursive,4,584,0.00271
9036,BranchAndBound,4,584,0.001384
9036,Dynamic,4,584,0.000518
9036,FPTAS25,4,492,0.000489
9036,FPTAS50,4,520,0.000583
9036,FPTAS75,4,561,0.000467
9037,Recursive,4,231,0.002279
9037,BranchAndBound,4,231,0.001541
9037,Dynamic,4,231,0.000601
9037,FPTAS25,4,195,0.000527
9037,FPTAS50,4,208,0.000463
9037,FPTAS75,4,221,0.000532
9038,Recursive,4,251,0.001557
9038,BranchAndBound,4,251,0.001544
9038,Dynamic,4,251,0.000567
9038,FPTAS25,4,211,0.001642
9038,FPTAS50,4,241,0.000466
9038,FPTAS75,4,241,0.000606
9039,Recursive,4,159,0.001524
9039,BranchAndBound,4,159,0.001555
9039,Dynamic,4,159,0.000535
9039,FPTAS25,4,149,0.000445
9039,FPTAS50,4,159,0.000402
9039,FPTAS75,4,159,0.000486
9040,Recursive,4,314,0.001492
9040,BranchAndBound,4,314,0.001893
9040,Dynamic,4,314,0.000503
9040,FPTAS25,4,249,0.00045
9040,FPTAS50,4,308,0.000456
9040,FPTAS75,4,308,0.000495
9041,Recursive,4,401,0.001494
9041,BranchAndBound,4,401,0.001382
9041,Dynamic,4,401,0.000547
9041,FPTAS25,4,362,0.000465
9041,FPTAS50,4,382,0.000484
9041,FPTAS75,4,392,0.000547
9042,Recursive,4,437,0.001532
9042,BranchAndBound,4,437,0.001559
9042,Dynamic,4,437,0.000542
9042,FPTAS25,4,364,0.000488
9042,FPTAS50,4,405,0.000457
9042,FPTAS75,4,418,0.000441
9043,Recursive,4,398,0.001549
9043,BranchAndBound,4,398,0.001376
9043,Dynamic,4,398,0.000497
9043,FPTAS25,4,339,0.000458
9043,FPTAS50,4,367,0.000452
9043,FPTAS75,4,381,0.001276
9044,Recursive,4,505,0.001496
9044,BranchAndBound,4,505,0.001527
9044,Dynamic,4,505,0.000649
9044,FPTAS25,4,468,0.001277
9044,FPTAS50,4,454,0.000499
9044,FPTAS75,4,482,0.000495
9045,Recursive,4,319,0.001504
9045,BranchAndBound,4,319,0.001577
9045,Dynamic,4,319,0.000588
9045,FPTAS25,4,270,0.000447
9045,FPTAS50,4,270,0.000445
9045,FPTAS75,4,300,0.000469
9046,Recursive,4,217,0.001512
9046,BranchAndBound,4,217,0.00128
9046,Dynamic,4,217,0.000543
9046,FPTAS25,4,179,0.000499
9046,FPTAS50,4,188,0.000502
9046,FPTAS75,4,205,0.000432
9047,Recursive,4,330,0.00152
9047,BranchAndBound,4,330,0.001437
9047,Dynamic,4,330,0.000589
9047,FPTAS25,4,267,0.000473
9047,FPTAS50,4,306,0.000454
9047,FPTAS75,4,318,0.000436
9048,Recursive,4,254,0.002036
9048,BranchAndBound,4,254,0.001391
9048,Dynamic,4,254,0.000505
9048,FPTAS25,4,216,0.000441
9048,FPTAS50,4,240,0.000458
9048,FPTAS75,4,240,0.000445
9049,Recursive,4,462,0.001767
9049,BranchAndBound,4,462,0.001549
9049,Dynamic,4,462,0.000659
9049,FPTAS25,4,415,0.000493
9049,FPTAS50,4,430,0.000498
9049,FPTAS75,4,445,0.000456
9050,Recursive,10,798,0.104881
9050,BranchAndBound,10,798,0.053549
9050,Dynamic,10,798,0.013673
9050,FPTAS25,10,752,0.004787
9050,FPTAS50,10,769,0.006115
9050,FPTAS75,10,786,0.008077
9051,Recursive,10,942,0.101327
9051,BranchAndBound,10,942,0.028293
9051,Dynamic,10,942,0.006218
9051,FPTAS25,10,899,0.005869
9051,FPTAS50,10,904,0.004767
9051,FPTAS75,10,926,0.005727
9052,Recursive,10,740,0.100552
9052,BranchAndBound,10,740,0.051887
9052,Dynamic,10,740,0.004198
9052,FPTAS25,10,696,0.00334
9052,FPTAS50,10,714,0.003372
9052,FPTAS75,10,725,0.003357
9053,Recursive,10,956,0.098713
9053,BranchAndBound,10,956,0.068063
9053,Dynamic,10,956,0.013967
9053,FPTAS25,10,878,0.003929
9053,FPTAS50,10,911,0.004086
9053,FPTAS75,10,933,0.006711
9054,Recursive,10,1501,0.099054
9054,BranchAndBound,10,1501,0.025042
9054,Dynamic,10,1501,0.015865
9054,FPTAS25,10,1400,0.0065
9054,FPTAS50,10,1456,0.006331
9054,FPTAS75,10,1481,0.008751
9055,Recursive,10,1351,0.099283
9055,BranchAndBound,10,1351,0.027137
9055,Dynamic,10,1351,0.007741
9055,FPTAS25,10,1282,0.005671
9055,FPTAS50,10,1305,0.005636
9055,FPTAS75,10,1327,0.005678
9056,Recursive,10,1375,0.099867
9056,BranchAndBound,10,1375,0.043471
9056,Dynamic,10,1375,0.011562
9056,FPTAS25,10,1302,0.005006
9056,FPTAS50,10,1339,0.00503
9056,FPTAS75,10,1357,0.005284
9057,Recursive,10,1153,0.09996
9057,BranchAndBound,10,1153,0.047979
9057,Dynamic,10,1153,0.007253
9057,FPTAS25,10,1088,0.004322
9057,FPTAS50,10,1118,0.005387
9057,FPTAS75,10,1142,0.005124
9058,Recursive,10,1234,0.099679
9058,BranchAndBound,10,1234,0.064522
9058,Dynamic,10,1234,0.005193
9058,FPTAS25,10,1176,0.003393
9058,FPTAS50,10,1189,0.00348
9058,FPTAS75,10,1214,0.003538
9059,Recursive,10,1260,0.100414
9059,BranchAndBound,10,1260,0.060626
9059,Dynamic,10,1260,0.007007
9059,FPTAS25,10,1195,0.005315
9059,FPTAS50,10,1239,0.005627
9059,FPTAS75,10,1239,0.007015
9060,Recursive,10,1319,0.099244
9060,BranchAndBound,10,1319,0.049035
9060,Dynamic,10,1319,0.006217
9060,FPTAS25,10,1251,0.003965
9060,FPTAS50,10,1282,0.004067
9060,FPTAS75,10,1301,0.003899
9061,Recursive,10,1169,0.098377
9061,BranchAndBound,10,1169,0.025165
9061,Dynamic,10,1169,0.014311
9061,FPTAS25,10,1098,0.007167
9061,FPTAS50,10,1143,0.006625
9061,FPTAS75,10,1154,0.006756
9062,Recursive,10,99,0.098544
9062,BranchAndBound,10,99,0.058301
9062,Dynamic,10,99,0.00537
9062,FPTAS25,10,96,0.004571
9062,FPTAS50,10,99,0.004707
9062,FPTAS75,10,99,0.004487
9063,Recursive,10,1023,0.09943
9063,BranchAndBound,10,1023,0.049101
9063,Dynamic,10,1023,0.00726
9063,FPTAS25,10,977,0.004192
9063,FPTAS50,10,983,0.003992
9063,FPTAS75,10,1007,0.004015
9064,Recursive,10,1389,0.098588
9064,BranchAndBound,10,1389,0.025006
9064,Dynamic,10,1389,0.013938
9064,FPTAS25,10,1319,0.005064
9064,FPTAS50,10,1338,0.005268
9064,FPTAS75,10,1370,0.007033
9065,Recursive,10,1168,0.099358
9065,BranchAndBound,10,1168,0.049255
9065,Dynamic,10,1168,0.004639
9065,FPTAS25,10,1100,0.002975
9065,FPTAS50,10,1125,0.002789
9065,FPTAS75,10,1144,0.00288
9066,Recursive,10,1024,0.099337
9066,BranchAndBound,10,1024,0.032275
9066,Dynamic,10,1024,0.00925
9066,FPTAS25,10,965,0.007727
9066,FPTAS50,10,976,0.006511
9066,FPTAS75,10,1004,0.007574
9067,Recursive,10,1195,0.099426
9067,BranchAndBound,10,1195,0.082443
9067,Dynamic,10,1195,0.006527
9067,FPTAS25,10,1128,0.002858
9067,FPTAS50,10,1160,0.003096
9067,FPTAS75,10,1179,0.003371
9068,Recursive,10,872,0.099857
9068,BranchAndBound,10,872,0.045509
9068,Dynamic,10,872,0.012131
9068,FPTAS25,10,803,0.00452
9068,FPTAS50,10,828,0.004218
9068,FPTAS75,10,847,0.004096
9069,Recursive,10,1099,0.099732
9069,BranchAndBound,10,1099,0.028222
9069,Dynamic,10,1099,0.007607
9069,FPTAS25,10,1054,0.003418
9069,FPTAS50,10,1054,0.003581
9069,FPTAS75,10,1079,0.00508
9070,Recursive,10,1286,0.099791
9070,BranchAndBound,10,1286,0.044003
9070,Dynamic,10,1286,0.006346
9070,FPTAS25,10,1242,0.004674
9070,FPTAS50,10,1248,0.004219
9070,FPTAS75,10,1272,0.004371
9071,Recursive,10,1178,0.099056
9071,BranchAndBound,10,1178,0.034521
9071,Dynamic,10,1178,0.007534
9071,FPTAS25,10,1106,0.00548
9071,FPTAS50,10,1150,0.005599
9071,FPTAS75,10,1156,0.005807
9072,Recursive,10,1217,0.098849
9072,BranchAndBound,10,1217,0.025207
9072,Dynamic,10,1217,0.006252
9072,FPTAS25,10,1178,0.004973
9072,FPTAS50,10,1190,0.005224
9072,FPTAS75,10,1201,0.005462
9073,Recursive,10,939,0.098072
9073,BranchAndBound,10,939,0.060352
9073,Dynamic,10,939,0.006236
9073,FPTAS25,10,873,0.004062
9073,FPTAS50,10,907,0.003944
9073,FPTAS75,10,924,0.004047
9074,Recursive,10,784,0.098114
9074,BranchAndBound,10,784,0.06465
9074,Dynamic,10,784,0.007378
9074,FPTAS25,10,722,0.003856
9074,FPTAS50,10,759,0.003808
9074,FPTAS75,10,770,0.003845
9075,Recursive,10,1240,0.09992
9075,BranchAndBound,10,1240,0.031457
9075,Dynamic,10,1240,0.007561
9075,FPTAS25,10,1180,0.005548
9075,FPTAS50,10,1205,0.00529
9075,FPTAS75,10,1223,0.005944
9076,Recursive,10,917,0.099126
9076,BranchAndBound,10,917,0.051573
9076,Dynamic,10,917,0.005717
9076,FPTAS25,10,872,0.00402
9076,FPTAS50,10,889,0.004118
9076,FPTAS75,10,906,0.003678
9077,Recursive,10,1033,0.098809
9077,BranchAndBound,10,1033,0.053398
9077,Dynamic,10,1033,0.006726
9077,FPTAS25,10,970,0.004382
9077,FPTAS50,10,993,0.004407
9077,FPTAS75,10,1016,0.004935
9078,Recursive,10,1386,0.097949
9078,BranchAndBound,10,1386,0.016675
9078,Dynamic,10,1386,0.007386
9078,FPTAS25,10,1315,0.006576
9078,FPTAS50,10,1333,0.006369
9078,FPTAS75,10,1364,0.007198
9079,Recursive,10,1266,0.098163
9079,BranchAndBound,10,1266,0.053331
9079,Dynamic,10,1266,0.00675
